dijkstra_time_ms,bellman_ford_time_ms,size_n
0.0002049,0.000347012,140
0.000200632,0.000342814,140
0.000113741,0.000216443,140
0.000194583,0.000341134,140
0.000196232,0.000340634,140
0.000232441,0.000206677,140
0.000218123,0.00034303,140
0.000143708,0.000303002,140
0.000221245,0.000390415,150
0.000129514,0.000236429,150
0.000224377,0.000393828,150
0.00013343,0.000241389,150
0.000227071,0.000390465,150
0.0002323,0.000393418,150
0.000233991,0.000391774,150
0.000224125,0.000395557,150
0.000223111,0.000447045,150
0.000223754,0.000424632,150
0.000219564,0.000394578,150
0.000133773,0.000239924,150
0.000141012,0.000260379,150
0.000228618,0.000403036,150
0.000260947,0.000238675,150
0.000232835,0.000390618,150
0.000128181,0.000246831,150
0.000223416,0.000407125,150
0.000134525,0.00023695,150
0.000227539,0.000395202,150
0.000223755,0.000402932,150
0.00022241,0.000394888,150
0.000222332,0.000397419,150
0.000214604,0.000406661,150
0.000225169,0.000395624,150
0.00022367,0.000394726,150
0.000220411,0.000396338,150
0.000217694,0.000395515,150
0.000226029,0.000405651,150
0.00022536,0.000394892,150
0.000220957,0.000396684,150
0.00022456,0.000394234,150
0.000254216,0.000447823,160
0.000265679,0.000459714,160
0.000266714,0.000432606,160
0.000152823,0.000271798,160
0.000260992,0.000444326,160
0.000258415,0.000446107,160
0.000149208,0.000279998,160
0.000146926,0.000319968,160
0.000244324,0.000444199,160
0.000254447,0.000462706,160
0.000146609,0.000268658,160
0.000191,0.000275413,160
0.000155219,0.000275724,160
0.000254228,0.000457686,160
0.000251211,0.000449207,160
0.000154117,0.000291765,160
0.000249383,0.000443921,160
0.000253112,0.000455714,160
0.000253126,0.000451632,160
0.00014547,0.00027852,160
0.000251943,0.000443373,160
0.00025662,0.000445583,160
0.000254518,0.000443839,160
0.000258826,0.000270116,160
0.000259793,0.000444395,160
0.000247472,0.000449573,160
0.000250065,0.000458172,160
0.000249153,0.000347575,160
0.00015062,0.00027783,160
0.000259108,0.000448709,160
0.000254861,0.000448038,160
0.000254365,0.000443656,160
0.000161455,0.000311951,170
0.000287512,0.000506909,170
0.000287882,0.000510537,170
0.000169287,0.000308447,170
0.000290171,0.000500867,170
0.000297888,0.000575019,170
0.000282932,0.000526362,170
0.000284078,0.000504655,170
0.000282787,0.000507004,170
0.000288499,0.000514788,170
0.00029146,0.000426182,170
0.000162272,0.000319765,170
0.000294387,0.000504219,170
0.000283084,0.000500945,170
0.000370433,0.000324684,170
0.000282719,0.000500269,170
0.00028705,0.000505327,170
0.000292963,0.000503352,170
0.000168744,0.000319608,170
0.000163413,0.000351507,170
0.000285303,0.000506655,170
