size_n,dijkstra_time_ms_mean,dijkstra_time_ms_std,bellman_ford_time_ms_mean,bellman_ford_time_ms_std,reps
1990,0.02841988125,0.0015854335474558491,0.055589725,0.0015467457733900558,32
2000,0.030119146875,0.0037821072686883483,0.0578525875,0.002813235869593722,32
2010,0.029415196875,0.0026685515623513325,0.057150203125,0.0015294357410259943,32
2020,0.028549696875,0.0008873813239260418,0.056870409375,0.001152959142370019,32
2030,0.030213146875,0.0022884434996827507,0.05835396875,0.0016385237493391535,32
2040,0.030023246875,0.0017341754832960923,0.05794635,0.001259158088515894,32
2050,0.02946698125,0.0009792948322126685,0.058477865625,0.0017085594693720385,32
2060,0.031891940625,0.003395948313142753,0.061896146875,0.004166788068388556,32
2070,0.033646434375,0.0032902727607876004,0.065588778125,0.006541246134230387,32
2080,0.03199965,0.002406956168327541,0.061894165625,0.0010083140450801314,32
2090,0.0332132,0.0036689468975272727,0.064901946875,0.004180938091504136,32
2100,0.032233075,0.0018151227565236464,0.0626762125,0.0017147280572932693,32
2110,0.03236013125,0.0020215935364270026,0.063755878125,0.001867126768884208,32
2120,0.032752646875,0.0010809296632368058,0.064759875,0.004867697023683275,32
2130,0.0328830625,0.0012733386624220397,0.0644961375,0.0028757515810816734,32
2140,0.03301296875,0.0013171287516406433,0.064380540625,0.002093671641348545,32
2150,0.03335455,0.0011580476989852364,0.065045825,0.0013914488930158366,32
2160,0.034210084375,0.0024889577518900073,0.0655091625,0.0017637789345163848,32
2170,0.03363290625,0.001565881728240015,0.0654676625,0.0011511716962376857,32
2180,0.03438470625,0.0018464664651262797,0.066343746875,0.001836022684701971,32
2190,0.0341837125,0.0012684514963504712,0.066871146875,0.0017739883199630248,32
2200,0.034397296875,0.0010100407647975083,0.067969503125,0.0020643888372960974,32
2210,0.03577465625,0.0016961552285495386,0.070381309375,0.0035579183140706885,32
2220,0.036685903125,0.0030387012694040416,0.070487375,0.0020945119603084164,32
2230,0.03744228125,0.0025676240195749915,0.072240546875,0.0029956561282530807,32
2240,0.03652049375,0.0014658413311426097,0.0712776125,0.0022252992273161265,32
2250,0.037208056249999996,0.001928879162547757,0.072656159375,0.002245413734128324,32
2260,0.039108490625,0.003869983113525769,0.07616590937500001,0.004644405175272676,32
2270,0.038040490625,0.0024506299416373763,0.0727567125,0.0010443295321490955,32
2280,0.0386158375,0.001703454735190739,0.07451041875,0.003753209900075326,32
2290,0.0380345,0.0012075974036801337,0.074074690625,0.001369180422816735,32
2300,0.03938125625,0.0020599672817391873,0.075959978125,0.002421438009444798,32
2310,0.03972468125,0.0013527636941271146,0.07724898125,0.002680589874267125,32
2320,0.039156096875,0.0017750498113581867,0.075027028125,0.001357822534942061,32
